x,y,genre
-35.513515,-21.729738,hip hop
-38.63262,-20.914675,hip hop
25.310963,-1.4017624,pop
-14.948881,-12.996648,pop
-13.5497055,-6.284782,Dance/Electronic
-11.677932,-0.67287606,hip hop
-16.460386,-11.228205,hip hop
-13.854485,-7.1811066,latin
27.646078,6.6970625,Dance/Electronic
23.668535,-6.1837473,pop
21.66908,-7.8503613,R&B
23.06976,6.740444,hip hop
-13.820168,-2.8857644,Dance/Electronic
-61.255276,0.8263642,pop
-34.834164,-17.175283,hip hop
25.720882,6.298014,latin
-11.866152,-8.314244,hip hop
23.576376,6.7379527,hip hop
17.927183,4.50848,Dance/Electronic
27.651379,-4.5475864,latin
